Бейб Рут
Лу Гериг
Тай Кобб
Хонус Вагнер
Сай Янг
Кристи Мэттьюсон
Уолтер Джонсон
Джеки Робинсон
Джош Гибсон
Сэтчел Пэйдж
Тед Уильямс
Джо Димаджио
Микки Мэнтл
Сэнди Коуфакс
Роберто Клементе
Уилли Мэйс
Хэнк Аарон
Уоррен Спан
Боб Гибсон
Фрэнк Робинсон
Эрни Бэнкс
Джеки Дженсен
Стэн Мьюзиал
Йоги Берра
Рой Кэмпэнелла
Майк Шмидт
Джонни Бенч
Нолан Райан
Джордж Бретт
Карл Ястржемски
Пит Роуз
Роджер Клеменс
Кен Гриффи-младший
Барри Бондс
Дерек Джетер
Мэриано Ривера
Грег Мэддакс
Рэнди Джонсон
Педро Мартинес
Тони Гвинн
Кэл Рипкен-младший
Дэвид Ортис
Альберт Пухольс
Алекс Родригес
Итиро Судзуки
Мигель Кабрера
Клейтон Кершоу
Майк Траут
Мэнни Рамирес
Чиппер Джонс
=====
Владимир Герреро
Джим Том
Боб Феллер
Джо Морган
Эдди Коллинз
Мел Отт
Джек Робинсон
Пол Уайнер
Кирби Пакетт
Орландо Сепeda
Джим Палмер
Том Сивер
Стив Карлтон
Дон Дрисдейл
Уайти Форд
Джим Банин
Реджи Джексон
Рики Хендерсон
Оззи Смит
Брюс Суттер
Деннис Экерсли
Роллинс Фингерс
Гоос Госсадж
Робин Йount
Пол Молитор
Эдгар Мартинес
Райан Сэндберг
Барри Ларкин
Омар Вискель
Роберто Аломар
Крейг Биджио
Джефф Багуэлл
Фрэнк Томас
Джим Тайм
Майк Пьяцца
Айван Родригес
Гэри Картер
Карлтон Фиск
Терри Пендлтон
Уэйд Боггс
Тони Олер
Род Кэру
Дэйв Уинфилд
Эдди Мюррей
Уилли Старджелл
Хармон Киллебрю
Билли Уильямс
Эл Кэлайн
Аль Кэлайн
Брукс Робинсон
Майк Шмидт
Джордж Келл
Эдди Мэттьюс
Пол Вайн
Ферги Дженкинс
Фил Никро
Гэйлорд Перри
Том Гловер
Джим Каат
Дон Саттон
Джuan Маричаль
Сэнди Амор
Джон Смолц
Том Гordon
Джон Франко
Ли Смит
Тревор Хоффман
Джон Уеттленд
Билли Вагнер
Эндрю Джонс
Андрю Доусон
Андре Торм
Дэйв Паркер
Тим Рейнс
Лу Брок
Винс Коулман
Джо Картер
Кирк Гибсон
Деннис Мартинес
Дэвид Кон
Орель Хершайзер
Рон Гидри
Скотт Ролен
Джимми Роллинс
Чейз Атли
Джефф Кент
Райн Ховард
Принс Филдер
Джош Хэмилтон
Джастин Верландер
Макс Шерзер
Джастин Морно
Кори Клубер
Джейк Ариэта
Б斯蒂н Позей
Джо Мауэр
Бустёр Пози
Джейсон Кнеп
Джордан Циммерманн
Карлос Дельгадо
Альфонсо Сориано
Робинсон Кано
Дэвид Райт
Хосе Баутиста
Эдвин Энкарнасьон
Джош Дональдсон
Брайс Харпер
Пол Голдшмидт
Нолан Аренадо
Мэтт Холлидей
Джон Лестер
Коуди Белинджер
Аарон Джадж
Хосе Альтуве
Мук Беттс
Кристиан Елич
Фредди Фримен
Рональд Акунья-младший
Шохей Отани
Фернандо Татис-младший
Джастин Тернер
Зак Гренки
Стивен Стросбург
Джеррит Коул
Джей Ди Мартинес
Нолан Райан
Реджи Джексон
Катфиш Хантер
Сальвадор Перес
Уит Меррифилд
Джонни Куэто
Феликс Эрнандес
Эван Лонгория
Трой Тюловицки
Джейсон Хейуорд
Брэндон Филлипс
Джоуи Вотто
Джастин Аптон
Мелвин Аптон-младший
Дэвид Прайс
Крис Сейл
Клейтон Кершоу
Зак Гринки
Мэдисон Бамгарнер
Бастер Поузи
Ядьер Молина
Энтони Ризо
Джон Лестер
Декстер Фаулер
Бен Зобрист
Энтони Риенцо
Крис Брайант
Джей Хейуорд
Эндрю Бенитенди
Хорхе Солер
Лэнс Беркман
Джефф Багуэлл
Крейг Биджио
Рой Освальт
Энди Петтит
Майк Муссина
Джон Смолц
Том Гловер
Дэвид Уэллс
Дэвид Кон
Орель Хершайзер
Боб Уич
Дон Ньюкомб
Сэл Магли
Джо Блэк
Джек Робинсон
Дон Дрисдейл
Сэнди Коуфакс
Мэй Уинн
Уайти Форд
Эдди Лопат
Алли Рейнольдс
Вик Раши
Джонни Подес
Бобби Шанц
Робин Робертс
Стэн Музиал
Эннио Морриконе
